t,mpw
0.26,0.000252
0.2605,0.000251
0.261,0.000252
0.2615,0.00025
0.262,0.00025
0.2625,0.000251
0.263,0.000251
0.2635,0.000251
0.264,0.000251
0.2645,0.00025
0.265,0.00025
0.2655,0.00025
0.266,0.00025
0.2665,0.00025
0.267,0.00025
0.2675,0.00025
0.268,0.00025
0.2685,0.00025
0.269,0.00025
0.2695,0.000249
0.27,0.00025
0.2705,0.00025
0.271,0.00025
0.2715,0.00025
0.272,0.00025
0.2725,0.00025
0.273,0.00025
0.2735,0.00025
0.274,0.00025
0.2745,0.00025
0.275,0.00025
0.2755,0.00025
0.276,0.00025
0.2765,0.00025
0.277,0.000248
0.2775,0.00025
0.278,0.00025
0.2785,0.00025
0.279,0.000249
0.2795,0.000249
0.28,0.000248
0.2805,0.000248
0.281,0.000248
0.2815,0.000249
0.282,0.000248
0.2825,0.00025
0.283,0.000248
0.2835,0.000248
0.284,0.000248
0.2845,0.00025
0.285,0.000248
0.2855,0.00025
0.286,0.000248
0.2865,0.000248
0.287,0.000248
0.2875,0.000248
0.288,0.000248
0.2885,0.000248
0.289,0.000248
0.2895,0.000248
0.29,0.000248
0.2905,0.000248
0.291,0.000248
0.2915,0.000248
0.292,0.000248
0.2925,0.000248
0.293,0.000248
0.2935,0.000248
0.294,0.000248
0.2945,0.000248
0.295,0.000248
0.2955,0.000248
0.296,0.000248
0.2965,0.000248
0.297,0.000248
0.2975,0.000248
0.298,0.000248
0.2985,0.000248
0.299,0.000248
0.2995,0.000248
0.3,0.000248
0.3005,0.000233
0.301,0.000271
0.3015,0.000274
0.302,0.000268
0.3025,0.000265
0.303,0.000263
0.3035,0.000262
0.304,0.000258
0.3045,0.000257
0.305,0.000255
0.3055,0.000253
0.306,0.000253
0.3065,0.000253
0.307,0.000253
0.3075,0.000252
0.308,0.000252
0.3085,0.000252
0.309,0.000252
0.3095,0.000252
0.31,0.000252
0.3105,0.000252
0.311,0.000252
0.3115,0.000251
0.312,0.000251
0.3125,0.000251
0.313,0.000251
0.3135,0.000251
0.314,0.000252
0.3145,0.00025
0.315,0.00025
0.3155,0.00025
0.316,0.00025
0.3165,0.00025
0.317,0.00025
0.3175,0.00025
0.318,0.00025
0.3185,0.00025
0.319,0.00025
0.3195,0.00025
0.32,0.00025
0.3205,0.00025
0.321,0.00025
0.3215,0.00025
0.322,0.00025
0.3225,0.00025
0.323,0.00025
0.3235,0.00025
0.324,0.00025
0.3245,0.00025
0.325,0.00025
0.3255,0.00025
0.326,0.00025
0.3265,0.00025
0.327,0.000249
0.3275,0.00025
0.328,0.00025
0.3285,0.00025
0.329,0.000249
0.3295,0.000249
0.33,0.000248
0.3305,0.000248
0.331,0.000248
0.3315,0.000248
0.332,0.00025
0.3325,0.00025
0.333,0.000249
0.3335,0.000249
0.334,0.000249
0.3345,0.00025
0.335,0.000249
0.3355,0.00025
0.336,0.000248
0.3365,0.000248
0.337,0.000248
0.3375,0.000248
0.338,0.000248
0.3385,0.00025
0.339,0.000248
0.3395,0.000248
0.34,0.000248
0.3405,0.000248
0.341,0.000248
0.3415,0.000248
0.342,0.000248
0.3425,0.000248
0.343,0.000248
0.3435,0.000248
0.344,0.000248
0.3445,0.000248
0.345,0.000248
0.3455,0.000248
0.346,0.000248
0.3465,0.000248
0.347,0.000248
0.3475,0.000248
0.348,0.000248
0.3485,0.000248
0.349,0.000248
0.3495,0.000248
0.35,0.000248
0.3505,0.000233
0.351,0.000271
0.3515,0.000274
0.352,0.000268
0.3525,0.000266
0.353,0.000264
0.3535,0.000263
0.354,0.000258
0.3545,0.000257
0.355,0.000255
0.3555,0.000254
0.356,0.000253
0.3565,0.000253
0.357,0.000253
0.3575,0.000252
0.358,0.000252
0.3585,0.000252
0.359,0.000252
0.3595,0.000252
0.36,0.000252
0.3605,0.000252
0.361,0.000252
0.3615,0.000251
0.362,0.000251
0.3625,0.000252
0.363,0.000252
0.3635,0.000251
0.364,0.000251
0.3645,0.00025
0.365,0.00025
0.3655,0.00025
0.366,0.00025
0.3665,0.00025
0.367,0.000251
0.3675,0.00025
0.368,0.00025
0.3685,0.00025
0.369,0.00025
0.3695,0.00025
